Wall time,Step,Value
1744634164.3673923,0,0.0
1744634288.370242,1,0.0
1744634410.782415,2,0.0
1744634532.2504315,3,0.0
1744634654.482578,4,0.0
1744634776.6263707,5,0.0
1744634899.9997845,6,0.0
1744635023.4135191,7,0.0
1744635146.4814973,8,0.0
1744635270.4222615,9,0.0
1744635393.716018,10,0.0
1744635517.6673772,11,0.0
1744635640.6888423,12,0.0
1744635762.9844556,13,0.0
1744635884.83642,14,0.0
1744636008.6747172,15,0.0
1744636130.832287,16,0.0
1744636254.7510316,17,0.0
1744636378.197254,18,0.0
1744636501.2621384,19,0.0
1744636624.4040666,20,0.0
1744636747.0523958,21,0.0
1744636870.226961,22,0.0
1744636993.9988449,23,0.0
1744637116.2396834,24,0.0
1744637239.5928273,25,0.0
1744637361.6375914,26,0.0
1744637483.7957187,27,0.0
1744637607.4968705,28,0.0
1744637731.3763669,29,0.0
1744637854.8099096,30,0.0
1744637976.7715073,31,0.0
1744638098.9059312,32,0.0
1744638222.0210164,33,0.0
1744638346.251957,34,0.0
1744638469.6780539,35,0.0
1744638593.6415682,36,0.0
1744638716.1100385,37,0.0
1744638838.7691004,38,0.0
1744638960.8906586,39,0.0
1744639084.3233097,40,0.0
1744639206.509957,41,0.0
1744639328.1953423,42,0.0
1744639451.46892,43,0.0
1744639575.782992,44,0.0
1744639698.1837409,45,0.0
1744639821.2312622,46,0.0
1744639949.8949313,47,0.0
1744640080.5447347,48,0.0
1744640204.476635,49,0.0
1744640328.1265912,50,0.0
1744640452.555809,51,0.0
1744640575.6734576,52,0.0
1744640700.137612,53,0.0
1744640823.1189916,54,0.0
1744640946.7108083,55,0.0
1744641068.6201913,56,0.0
1744641190.6672666,57,0.0
1744641314.0259504,58,0.0
1744641437.063237,59,0.0
1744641560.4650764,60,0.0
1744641684.5755296,61,0.0
1744641808.6963627,62,0.0
1744641932.888049,63,0.0
1744642056.0285304,64,0.0
1744642179.9794729,65,0.0
1744642302.7552593,66,0.0
1744642426.918797,67,0.0
1744642551.2149749,68,0.0
1744642675.5757997,69,0.0
1744642799.5492837,70,0.0
1744642922.5499744,71,0.0
1744643046.5123637,72,0.0
1744643168.927543,73,0.0
1744643292.0210338,74,0.0
1744643413.9099436,75,0.0
1744643536.3707266,76,0.0
1744643658.440913,77,0.0
1744643781.569361,78,0.0
1744643905.8256106,79,0.0
1744644029.4871225,80,0.0
1744644153.6984334,81,0.0
1744644276.8958688,82,0.0
1744644400.1711645,83,0.0
1744644523.5399559,84,0.0
1744644647.2536285,85,0.0
1744644770.7641797,86,0.0
1744644893.9791665,87,0.0
1744645016.3054948,88,0.0
1744645139.6430058,89,0.0
1744645263.5595744,90,0.0
1744645386.646845,91,0.0
1744645510.0922217,92,0.0
1744645632.3047774,93,0.0
1744645754.6651406,94,0.0
1744645877.944836,95,0.0
1744646001.0873861,96,0.0
1744646124.0444262,97,0.0
1744646246.6442606,98,0.0
1744646369.1656744,99,0.0
1744646490.7695522,100,0.0
1744646612.8049536,101,0.0
1744646737.0304532,102,0.0
1744646860.7959957,103,0.0
1744646983.003743,104,0.0
1744647105.38565,105,0.0
1744647227.8850722,106,0.0
1744647351.9032893,107,0.0
1744647473.5582163,108,0.0
1744647597.4339845,109,0.0
1744647719.2983372,110,0.0
1744647840.7893047,111,0.0
1744647961.9720502,112,0.0
1744648084.9257405,113,0.0
1744648209.3250709,114,0.0
1744648332.7245386,115,0.0
1744648456.9413092,116,0.0
1744648578.5711813,117,0.0
1744648702.6533184,118,0.0
1744648825.1026058,119,0.0
1744648949.406875,120,0.0
1744649071.647468,121,0.0
1744649194.247823,122,0.0
1744649317.3777902,123,0.0
1744649441.1091843,124,0.0
1744649565.5796335,125,0.0
1744649687.7989159,126,0.0
1744649810.2030723,127,0.0
